,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.lr,metrics.final_epoch,metrics.best_epoch,metrics.val_loss,metrics.loss,metrics.min_val_loss,metrics.min_loss,params.max_queue_size,params.steps_per_epoch,params.opt_beta_2,params.opt_amsgrad,params.fit_kwds.learning_rate,params.fit_kwds.lr_patience,params.opt_learning_rate,params.validation_freq,params.model_kwds.distribution_kwds.base_distribution_kwds.concentration1,params.results_path,params.validation_split,params.patience,params.batch_size,params.model_kwds.distribution_kwds.base_distribution_kwds.concentration0,params.model_kwds.distribution_kwds.shift,params.model_kwds.distribution_kwds.base_distribution_kwds.distribution_type,params.min_delta,params.monitor,params.class_weight,params.sample_weight,params.workers,params.dataset_kwds.dataset_name,params.opt_decay,params.shuffle,params.validation_steps,params.plot_data,params.fit_kwds.reduce_lr_on_plateau,params.use_multiprocessing,params.model_kwds.distribution_kwds.clip_to_bernstein_domain,params.model_kwds.parameter_kwds.activation,params.opt_name,params.validation_batch_size,params.model_kwds.distribution_kwds.scale,params.fit_kwds.epochs,params.fit_kwds.monitor,params.epochs,params.fit_kwds.verbose,params.model_kwds.distribution,params.fit_kwds.batch_size,params.after_fit_hook,params.initial_epoch,params.run_name,params.baseline,params.seed,params.opt_epsilon,params.opt_beta_1,params.model_kwds.distribution_kwds.allow_flexible_bounds,params.model_kwds.distribution_kwds.smooth_bounds,params.experiment_name,params.model_kwds.distribution_kwds.high,params.fit_kwds.early_stopping,params.model_kwds.parameter_kwds.hidden_units,params.model_kwds.distribution_kwds.low,params.restore_best_weights,params.model_kwds.distribution_kwds.order,params.log_file,params.model_kwds.parameter_kwds.conditional,params.model_kwds.parameter_kwds.dtype,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.user,tags.mlflow.source.git.commit,params.model_kwds.base_distribution_kwds.shift,params.model_kwds.base_distribution_kwds.clip_to_bernstein_domain,params.dataset_kwds.factor,params.model_kwds.base_parameter_kwds.conditional,params.model_kwds.base_distribution_kwds.order,params.model_kwds.base_checkpoint_path,params.model_kwds.parameter_kwds.batch_norm,params.model_kwds.base_distribution_kwds.allow_flexible_bounds,params.model_kwds.freeze_base_model,params.model_kwds.base_distribution_kwds.low,params.model_kwds.base_distribution_kwds.scale,params.model_kwds.base_parameter_kwds.dtype,params.model_kwds.distribution_kwds.coupling_layers,params.fit_kwds.validation_split,params.dataset_kwds.noise,params.dataset_kwds.n_samples,params.model_kwds.base_distribution,params.model_kwds.base_distribution_kwds.high,params.model_kwds.base_distribution_kwds.smooth_bounds,params.dataset_kwds.scale,params.fit_kwds.loss,params.model_kwds.parameter_kwds.x0_kwds.batch_norm,params.model_kwds.parameter_kwds.x0_kwds.kernel_initializer,params.model_kwds.parameter_kwds.x0_kwds.hidden_units,params.model_kwds.parameter_kwds.x0_kwds.activation,params.model_kwds.parameter_kwds.made_kwds.activation,params.model_kwds.parameter_kwds.x0_kwds.bias_initializer,params.model_kwds.parameter_kwds.made_kwds.hidden_units,metrics.restored_epoch,metrics.stopped_epoch,params.model_kwds.distribution_kwds,tags.mlflow.log-model.history,experiment_name
204,962fd28dad3d43279fb84f1d12065241,423080604963110590,FAILED,file:///mlruns/423080604963110590/962fd28dad3d43279fb84f1d12065241/artifacts,2023-09-25 20:32:33.910000+00:00,2023-09-25 21:20:31.228000+00:00,0.009999999776482582,,,-84.5263900756836,-76.37321472167969,,,10,None,0.999,False,0.01,10,0.01,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,30,128,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,128,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
202,5024b282d4d5472586a0ed14abc7cc02,423080604963110590,FAILED,file:///mlruns/423080604963110590/5024b282d4d5472586a0ed14abc7cc02/artifacts,2023-09-25 20:34:09.077000+00:00,2023-09-25 21:20:31.256000+00:00,0.009999999776482582,,,-84.52105712890625,-77.25043487548828,,,10,None,0.999,False,0.01,1000,0.01,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,3000,512,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
205,276e191b2be2474da46f098875c42f8e,423080604963110590,FAILED,file:///mlruns/423080604963110590/276e191b2be2474da46f098875c42f8e/artifacts,2023-09-25 20:32:26.470000+00:00,2023-09-25 21:20:31.183000+00:00,0.009999999776482582,,,-84.52105712890625,-77.25043487548828,,,10,None,0.999,False,0.01,10,0.01,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,30,512,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
105,390dcd6d3b5040b79f86e83b5b2f08e8,423080604963110590,FAILED,file:///mlruns/423080604963110590/390dcd6d3b5040b79f86e83b5b2f08e8/artifacts,2023-10-02 08:19:50.376000+00:00,2023-10-02 13:09:05.024000+00:00,9.999999747378752e-05,,,-84.50348663330078,-77.30126953125,,,10,None,0.999,False,0.0001,25,0.0001,1,2,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,75,512,5,,kumaraswamy,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,9dba8c68d7951cde4ae692349fdb373d2e42099a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
104,7e29bd3f304442b38bcd610903461595,423080604963110590,FAILED,file:///mlruns/423080604963110590/7e29bd3f304442b38bcd610903461595/artifacts,2023-10-02 08:34:00.148000+00:00,2023-10-02 13:09:05.102000+00:00,9.999999747378752e-05,,,-84.4541015625,-77.25678253173828,,,10,None,0.999,False,0.0001,25,0.0001,1,2,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,75,512,5,,kumaraswamy,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,9dba8c68d7951cde4ae692349fdb373d2e42099a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
211,c18df397d5554d99a2a86adaa0fd22e9,423080604963110590,FAILED,file:///mlruns/423080604963110590/c18df397d5554d99a2a86adaa0fd22e9/artifacts,2023-09-25 20:28:05.299000+00:00,2023-09-25 21:20:31.039000+00:00,0.10000000149011612,,,-84.422607421875,-77.0767593383789,,,10,None,0.999,False,0.1,100,0.1,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,300,128,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,128,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
209,56b80a39505d44d08f1b7bcadd5d5a6e,423080604963110590,FAILED,file:///mlruns/423080604963110590/56b80a39505d44d08f1b7bcadd5d5a6e/artifacts,2023-09-25 20:28:32.465000+00:00,2023-09-25 21:20:31.215000+00:00,0.10000000149011612,,,-84.422607421875,-77.0767593383789,,,10,None,0.999,False,0.1,10,0.1,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,30,128,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,128,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
196,d8edbfec3f984500b13bf25cfcd3ee35,423080604963110590,FAILED,file:///mlruns/423080604963110590/d8edbfec3f984500b13bf25cfcd3ee35/artifacts,2023-09-25 20:34:53.803000+00:00,2023-09-25 21:20:31.231000+00:00,0.10000000149011612,,,-84.422607421875,-77.0767593383789,,,10,None,0.999,False,0.1,1000,0.1,1,,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,3000,128,,,,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,128,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,b9cf39d3c535c83651c3210b54487b967510d2ac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
165,8b6645c681234e6ca2adbabcf848e80d,423080604963110590,FAILED,file:///mlruns/423080604963110590/8b6645c681234e6ca2adbabcf848e80d/artifacts,2023-10-01 20:21:23.460000+00:00,2023-10-02 03:00:56.213000+00:00,9.999999747378752e-05,,,-84.40818786621094,-77.21351623535156,,,10,None,0.999,False,0.0001,25,0.0001,1,2,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,75,512,5,,kumaraswamy,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,9dba8c68d7951cde4ae692349fdb373d2e42099a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
164,e938a728bc584db3a563c9fd50591f85,423080604963110590,FAILED,file:///mlruns/423080604963110590/e938a728bc584db3a563c9fd50591f85/artifacts,2023-10-01 20:21:48.934000+00:00,2023-10-02 03:00:55.843000+00:00,9.999999747378752e-05,,,-84.40818786621094,-77.21351623535156,,,10,None,0.999,False,0.0001,25,0.0001,1,2,results/unconditional_benchmark_bernstein_flow_BSDS300,0.0,75,512,5,,kumaraswamy,0,val_loss,None,None,1,BSDS300,0.0,True,None,None,True,False,False,,Adam,None,,10000,val_loss,10000,True,bernstein_flow,512,None,0,unconditional_benchmark_bernstein_flow,None,1,1e-07,0.9,True,True,unconditional-benchmark-BSDS300,3,True,,-3,True,100,results/unconditional_benchmark_bernstein_flow_BSDS300/train.log,False,float32,LOCAL,scripts/train_benchmark.py,unconditional_benchmark_bernstein_flow,julian,9dba8c68d7951cde4ae692349fdb373d2e42099a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unconditional-benchmark-BSDS300
